product_id,product_category_name
1e9e8ef04dbcff4541ed26657ea517e5,PERFUMERY
3aa071139cb16b67ca9e5dea641aaa2f,ART
96bd76ec8810374ed1b65e291975717f,SPORTS LEISURE
cef67bcfe19066a932b7673e239eb23d,BABY
9dc1a7de274444849c219cff195d0b71,HOUSEWARES
41d3672d4792049fa1779bb35283ed13,MUSICAL INSTRUMENTS
732bd381ad09e530fe0a5f457d81becb,COOL STUFF
2548af3e6e77a690cf3eb6368e9ab61e,FURNITURE DECOR
37cc742be07708b53a98702e77a21a02,HOME APPLIANCES
8c92109888e8cdf9d66dc7e463025574,TOYS
14aa47b7fe5c25522b47b4b29c98dcb9,BED BATH TABLE
03b63c5fc16691530586ae020c345514,BABY
cf55509ea8edaaac1d28fdb16e48fc22,MUSICAL INSTRUMENTS
7bb6f29c2be57716194f96496660c7c2,FURNITURE DECOR
eb31436580a610f202c859463d8c7415,CONSTRUCTION TOOLS SAFETY
3bb7f144022e6732727d8d838a7b13b3,SPORTS LEISURE
6a2fb4dd53d2cdb88e0432f1284a004c,PERFUMERY
a1b71017a84f92fd8da4aeefba108a24,COMPUTERS ACCESSORIES
a0736b92e52f6cead290e30b578413b6,FURNITURE DECOR
f53103a77d9cf245e579ea37e5ec51f0,BED BATH TABLE
1c1890ba1779090cd54008a3c3302921,FURNITURE DECOR
518ef5de2c2b3a255e326a4594ba15d9,BED BATH TABLE
e3e020af31d4d89d2602272b315c3f6e,HEALTH BEAUTY
8b41fbc2b984a12030090112324d1bc4,BABY
d03bd02af9fff4b98f1c972315e5e9ef,FURNITURE DECOR
8ba4f2a4ae695d26e5626c1bf710975e,HOUSEWARES
f6574524b07d5bb753bab6f35abe2d06,LUGGAGE ACCESSORIES
c78b767da00efb70c1bcccab87c28cd5,COMPUTERS ACCESSORIES
a0253d43394dd4da9a5d7b1f546f1a32,COMPUTERS ACCESSORIES
051b9ff13dd55c0a6655a15ff296f80d,SPORTS LEISURE
47859fca9dd7485cbd93c3e8993bb74f,BED BATH TABLE
e1d1d22e9f8122a4ec1533b032c12562,GARDEN TOOLS
20e37962088a4061d3578def47a8648b,FURNITURE DECOR
1eba879220bd0981a0e2fbab499ed4e1,OFFICE FURNITURE
ce5b91848b91118daffb3af53b747475,SPORTS LEISURE
5370b82a213393979691c98074265584,BABY
b8dac5113b06a97e64943234522572b9,AUTO
750cf819d127191920eda79a4b6fb479,ELECTRONICS
e6af694343b45b56304ad91974a110b9,HOUSEWARES
680874c570dad71c0a2844cfbf417054,FURNITURE DECOR
8b3a9476f74f5297f7ff0ec6d95fe1ea,FURNITURE DECOR
1c6fb703c624b381a20f21f757694866,TOYS
db46052aed7dff59ba38cf2fe29b87f9,BED BATH TABLE
b864b103180d5a6a3f830e67f93e8735,BABY
7a8dac4aaa16bc642e4df33adcf03303,COOL STUFF
83b9bc6aae6f527ff6aafb9e01d6cbf3,TOYS
5f504b3a1c75b73d6151be81eb05bdc9,COOL STUFF
bbf920aa6ac72007a726e6f419156f8f,FURNITURE DECOR
c3b7e4d83e530c27a8e6368296aece48,FURNITURE DECOR
c5d8079278e912d7e3b6beb48ecb56e8,HEALTH BEAUTY
5eaa343860dc445b3fd43d1b682809fd,SPORTS LEISURE
b5cfb1d3c5e435a7a52227e08f220ee7,COOL STUFF
334479e94cba98064050db1c9636e244,AUTO
3fcd8dfe610c62edfb51de2630cd9ef4,BABY
4c8056caed5757810b9a68b83c3759e6,LUGGAGE ACCESSORIES
30e77af9e7759bbaa0305d2fbc605dc4,FASHION SHOES
92bf5d2084dfbcb57d9db7838bac5cd0,TELEPHONY
fdeb34a9f03fea7c3937dd62d1d0287e,COOL STUFF
1065dbb6b0bf03daaedab1236979e296,STATIONERY
0d826eba8e0a2ae3bca9e3a947dd756d,TOYS
f8f6fd145cc00519283cf3100477b2b3,SPORTS LEISURE
4e04ffb7dd3739ecfc37de8927dd586c,STATIONERY
36555a2f528d7b2a255c504191445d39,HEALTH BEAUTY
22937a73f92a33040ab4e2540355a5d8,FASHION BAGS ACCESSORIES
dc21247da0290904ffbbcd5953c76f95,STATIONERY
9020ce7adcc384b2899ae87ddc54767b,STATIONERY
bfc1d1c62b1f7f401d8d9dda962bb870,SPORTS LEISURE
6fef6d87bb6c2eb11d57a967209219a8,GARDEN TOOLS
1e5428c428e0f783acd6e3d94ba4ee2a,COMPUTERS
94080f9219044d897195e2be145945dc,AUTO
d0389f20b3d11de54e1e4561df147683,HOME CONSTRUCTION
3e9b58f1436820c248d3f98d7229bb14,WATCHES GIFTS
